holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,date_time,traffic_volume,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,is_holiday,is_rainy,is_snowy,is_peak_hour,congestion_quartile,temp_scaled,traffic_volume_scaled,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Squall,weather_main_Thunderstorm
No Holiday,288.28,0.0,0.0,40,scattered clouds,2012-10-02 09:00:00,5545,9,1,10,0,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0,0,0,1,Severe,0.5522869025177997,1.1502053121913416,0,1,0,0,0,0,0,0,0,0,0
No Holiday,289.36,0.0,0.0,75,broken clouds,2012-10-02 10:00:00,4516,10,1,10,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0,0,0,0,High,0.6372580946491192,0.6323219406615713,0,1,0,0,0,0,0,0,0,0,0
No Holiday,289.58,0.0,0.0,90,overcast clouds,2012-10-02 11:00:00,4767,11,1,10,0,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0,0,0,0,High,0.654567041194385,0.7586472334253929,0,1,0,0,0,0,0,0,0,0,0
No Holiday,290.13,0.0,0.0,90,overcast clouds,2012-10-02 12:00:00,5026,12,1,10,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,Severe,0.6978394075575564,0.8889988303410493,0,1,0,0,0,0,0,0,0,0,0
No Holiday,291.14,0.0,0.0,75,broken clouds,2012-10-02 13:00:00,4918,13,1,10,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,0,0,0,0,High,0.7773032076062867,0.8346437242912775,0,1,0,0,0,0,0,0,0,0,0
No Holiday,291.72,0.0,0.0,1,sky is clear,2012-10-02 14:00:00,5181,14,1,10,0,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0,0,0,0,Severe,0.8229358848619968,0.9670084732828514,1,0,0,0,0,0,0,0,0,0,0
No Holiday,293.17,0.0,0.0,1,sky is clear,2012-10-02 15:00:00,5584,15,1,10,0,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0,0,0,1,Severe,0.9370175780012633,1.169833544931537,1,0,0,0,0,0,0,0,0,0,0
No Holiday,293.86,0.0,0.0,1,sky is clear,2012-10-02 16:00:00,6015,16,1,10,0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0,0,0,1,Severe,0.991304728529604,1.3867506811116448,1,0,0,0,0,0,0,0,0,0,0
No Holiday,294.14,0.0,0.0,20,few clouds,2012-10-02 17:00:00,5791,17,1,10,0,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0,0,0,1,Severe,1.0133342968599433,1.2740141648602663,0,1,0,0,0,0,0,0,0,0,0
No Holiday,293.1,0.0,0.0,20,few clouds,2012-10-02 18:00:00,4770,18,1,10,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,1,High,0.9315101859186785,0.760157097482331,0,1,0,0,0,0,0,0,0,0,0
No Holiday,290.97,0.0,0.0,20,few clouds,2012-10-02 19:00:00,3539,19,1,10,0,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210297e-16,0,0,0,0,High,0.7639281125485826,0.14060954611872817,0,1,0,0,0,0,0,0,0,0,0
No Holiday,289.38,0.0,0.0,1,sky is clear,2012-10-02 20:00:00,2784,20,1,10,0,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0,0,0,0,Medium,0.6388316352441422,-0.23937290821069512,1,0,0,0,0,0,0,0,0,0,0
