2026-09-22 17:16:21,723 | INFO | __main__ | Supervised modelling notebook started
2026-09-22 17:16:47,632 | INFO | __main__ | Loaded feature dataset with 48187 rows and 34 columns
2026-09-22 17:30:01,185 | INFO | __main__ | Created proxy risk label using 7 risky-weather columns
2026-09-22 17:46:53,798 | INFO | __main__ | Created stratified classification split with 38549 training and 9638 test records
2026-09-22 17:47:16,514 | INFO | __main__ | Training classification model: Logistic Regression
2026-09-22 17:47:16,888 | INFO | __main__ | Logistic Regression completed with ROC AUC 0.9937
2026-09-22 17:47:16,889 | INFO | __main__ | Training classification model: Random Forest
2026-09-22 17:47:17,759 | INFO | __main__ | Random Forest completed with ROC AUC 0.9970
2026-09-22 17:49:50,923 | INFO | __main__ | Saved best classifier Random Forest to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/models/best_risk_classifier.joblib
2026-09-22 17:53:02,919 | INFO | __main__ | Created regression split with 38549 training and 9638 test records
2026-09-22 17:53:04,701 | INFO | __main__ | Training regression model: Linear Regression
2026-09-22 17:53:04,780 | INFO | __main__ | Linear Regression completed with MAE 832.89 and R2 0.7100
2026-09-22 17:53:04,813 | INFO | __main__ | Training regression model: Random Forest Regressor
2026-09-22 17:53:07,584 | INFO | __main__ | Random Forest Regressor completed with MAE 244.04 and R2 0.9538
2026-09-22 18:10:59,416 | INFO | __main__ | Saved best regression model Random Forest Regressor to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/models/best_traffic_regressor.joblib
2026-09-22 18:16:19,950 | INFO | __main__ | Unsupervised-learning notebook started
2026-09-22 18:17:45,834 | INFO | __main__ | Loaded feature dataset with 48187 rows and 34 columns
2026-09-22 18:18:49,955 | INFO | __main__ | Prepared 48187 records using 8 clustering features
2026-09-22 18:19:06,069 | INFO | __main__ | Evaluated K-means with 2 clusters: silhouette score 0.2405
2026-09-22 18:19:07,560 | INFO | __main__ | Evaluated K-means with 3 clusters: silhouette score 0.2453
2026-09-22 18:19:09,404 | INFO | __main__ | Evaluated K-means with 4 clusters: silhouette score 0.1959
2026-09-22 18:19:11,103 | INFO | __main__ | Evaluated K-means with 5 clusters: silhouette score 0.2047
2026-09-22 18:19:13,392 | INFO | __main__ | Evaluated K-means with 6 clusters: silhouette score 0.2313
2026-09-22 18:30:58,934 | INFO | __main__ | Trained final K-means model with 3 clusters
2026-09-22 18:58:23,941 | INFO | __main__ | Saved K-means cluster figure to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_traffic.png
2026-09-22 18:58:31,346 | INFO | __main__ | Saved K-means profiles to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_profiles.csv
2026-09-22 18:58:31,346 | INFO | __main__ | Saved traffic cluster assignments to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/traffic_cluster_assignments.csv
2026-09-22 18:58:31,347 | INFO | __main__ | Saved K-means model to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/models/kmeans_traffic_clusters.joblib
2026-09-23 15:44:21,979 | INFO | __main__ | Unsupervised-learning notebook started
2026-09-23 15:44:22,150 | INFO | __main__ | Loaded feature dataset with 48187 rows and 34 columns
2026-09-23 15:44:22,190 | INFO | __main__ | Prepared 48187 records using 8 clustering features
2026-09-23 15:44:23,985 | INFO | __main__ | Evaluated K-means with 2 clusters: silhouette score 0.2405
2026-09-23 15:44:25,848 | INFO | __main__ | Evaluated K-means with 3 clusters: silhouette score 0.2453
2026-09-23 15:44:27,777 | INFO | __main__ | Evaluated K-means with 4 clusters: silhouette score 0.1959
2026-09-23 15:44:29,921 | INFO | __main__ | Evaluated K-means with 5 clusters: silhouette score 0.2047
2026-09-23 15:44:33,033 | INFO | __main__ | Evaluated K-means with 6 clusters: silhouette score 0.2313
2026-09-23 15:44:34,431 | INFO | __main__ | Trained final K-means model with 3 clusters
2026-09-23 15:44:34,971 | INFO | __main__ | Saved K-means cluster figure to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_traffic.png
2026-09-23 15:44:35,044 | INFO | __main__ | Saved K-means profiles to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_profiles.csv
2026-09-23 15:44:35,044 | INFO | __main__ | Saved traffic cluster assignments to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/traffic_cluster_assignments.csv
2026-09-23 15:44:35,044 | INFO | __main__ | Saved K-means model to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/models/kmeans_traffic_clusters.joblib
2026-09-23 15:55:10,339 | INFO | __main__ | Prepared 48187 transactions with 21 categorical items
2026-09-23 15:55:44,128 | INFO | __main__ | Generated 162 frequent itemsets and 189 congestion rules
2026-09-23 16:18:10,472 | INFO | __main__ | Generated 162 frequent itemsets and 66 congestion-only rules
2026-09-23 16:19:28,941 | INFO | __main__ | Saved congestion association rules to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/association_rules.csv
2026-09-23 16:19:28,943 | INFO | __main__ | Saved top association rules to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/top_association_rules.csv
2026-09-23 16:27:34,222 | INFO | __main__ | Unsupervised-learning notebook started
2026-09-23 16:27:34,335 | INFO | __main__ | Loaded feature dataset with 48187 rows and 34 columns
2026-09-23 16:27:34,369 | INFO | __main__ | Prepared 48187 records using 8 clustering features
2026-09-23 16:27:36,191 | INFO | __main__ | Evaluated K-means with 2 clusters: silhouette score 0.2405
2026-09-23 16:27:37,684 | INFO | __main__ | Evaluated K-means with 3 clusters: silhouette score 0.2453
2026-09-23 16:27:39,831 | INFO | __main__ | Evaluated K-means with 4 clusters: silhouette score 0.1959
2026-09-23 16:27:42,397 | INFO | __main__ | Evaluated K-means with 5 clusters: silhouette score 0.2047
2026-09-23 16:27:44,066 | INFO | __main__ | Evaluated K-means with 6 clusters: silhouette score 0.2313
2026-09-23 16:27:44,672 | INFO | __main__ | Trained final K-means model with 3 clusters
2026-09-23 16:27:45,311 | INFO | __main__ | Saved K-means cluster figure to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_traffic.png
2026-09-23 16:27:45,405 | INFO | __main__ | Saved K-means profiles to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/kmeans_cluster_profiles.csv
2026-09-23 16:27:45,406 | INFO | __main__ | Saved traffic cluster assignments to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/traffic_cluster_assignments.csv
2026-09-23 16:27:45,407 | INFO | __main__ | Saved K-means model to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/models/kmeans_traffic_clusters.joblib
2026-09-23 16:27:45,536 | INFO | __main__ | Prepared 48187 transactions with 21 categorical items
2026-09-23 16:27:45,587 | INFO | __main__ | Generated 162 frequent itemsets and 66 congestion-only rules
2026-09-23 16:27:45,606 | INFO | __main__ | Saved congestion association rules to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/association_rules.csv
2026-09-23 16:27:45,607 | INFO | __main__ | Saved top association rules to /Users/misatoniwa/Downloads/smart-city-traffic-capstone/part3_machine_learning/reports/top_association_rules.csv
2026-09-23 18:22:51,611 | INFO | __main__ | Deep-learning and explainability notebook started
2026-09-23 18:23:56,692 | INFO | __main__ | Prepared chronological split with 38549 training and 9638 test records
2026-09-23 18:41:04,169 | INFO | __main__ | Training neural network for traffic prediction
2026-09-23 18:41:09,584 | INFO | __main__ | Neural-network training completed after 28 epochs
2026-09-23 18:44:04,010 | INFO | __main__ | Neural network evaluated with MAE 491.09 and R2 0.8858
