antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Day=Weekend, Time=Night",Congestion=Low,0.07269595534065204,0.25000518812127753,0.06441571378172536,0.8860976306023409,3.5443169690242384,1.0,0.046241347791129664,6.5845409173212195,0.7741346492598196,0.2493973967539772,0.8481291235704207,0.5718775693478211
"Day=Weekend, Time=Night, Weather=Clear",Congestion=Low,0.025463299230082802,0.25000518812127753,0.021976881731587357,0.863080684596577,3.4522510955968504,1.0,0.015610924817382126,5.477640679614242,0.7288939776363225,0.0866966844044208,0.8174396499351206,0.4754931936305704
"Time=Night, Weather=Clouds",Congestion=Low,0.05773341357627576,0.25000518812127753,0.04922489468113807,0.8526240115025162,3.410425271210405,1.0,0.03479124175911773,5.088989186942943,0.7500864897206757,0.19041502769527172,0.8034973226970599,0.5247597520781444
"Time=Night, Weather=Clear",Congestion=Low,0.08174403884865213,0.25000518812127753,0.06958308257413826,0.8512312769738513,3.4048544487041563,1.0,0.04914664876398796,5.041347378823018,0.7691773526251166,0.2654159740362543,0.8016403304797723,0.564778915651365
Time=Night,Congestion=Low,0.25486126963703903,0.25000518812127753,0.2163239047875983,0.8487908150802052,3.395092803707964,1.0,0.15260726512716272,4.959981844201717,0.9467461731427232,0.7497123130034521,0.798386358778911,0.8570342387843957
"Day=Weekend, Time=Afternoon, Weather=Clouds",Congestion=High,0.02865918193703696,0.2501504555170482,0.02428040757880756,0.8472121650977552,3.386810403149621,1.0,0.017111300162511806,4.90778303758747,0.7255300383360888,0.09539339584182632,0.7962420114456461,0.4721376903139348
"Day=Weekday, Time=Night, Weather=Clear",Congestion=Low,0.056280739618569324,0.25000518812127753,0.0476062008425509,0.8458702064896756,3.3834106117803597,1.0,0.03353572394660584,4.865995047404537,0.746451066505687,0.18403529883674288,0.7944921870536246,0.5181455290769952
"Time=Night, Weather=Rain",Congestion=Low,0.02876294436258742,0.25000518812127753,0.024321912549027744,0.8455988455988456,3.3823251907422236,1.0,0.01713102723273724,4.857443033943501,0.7252044146251944,0.09558763559252915,0.7941303700296505,0.471442238438171
"Day=Weekday, Time=Night, Weather=Clouds",Congestion=Low,0.04216904974370681,0.25000518812127753,0.03546599705314712,0.8410433070866142,3.3641034148404314,1.0,0.024923515839076184,4.718233615286578,0.7336826789979752,0.1381568310428456,0.7880562766624979,0.49145217566499716
"Time=Night, Weather=Mist",Congestion=Low,0.041899267437275615,0.25000518812127753,0.03505094735094528,0.836552748885587,3.3461415547895554,1.0,0.02457591311314547,4.588604621767094,0.7318106579938339,0.13646279389189625,0.782068824309623,0.4883768143863479
"Day=Weekday, Time=Night",Congestion=Low,0.182165314296387,0.25000518812127753,0.15190819100587297,0.8339029391660971,3.335542535867579,1.0,0.1063659173360331,4.5154008632863025,0.8561616531798305,0.5420214735283229,0.7785357202434067,0.7207615467806912
