date_time,traffic_volume,cluster,cluster_name
2012-10-02 09:00:00,5545,1,High-demand normal-weather traffic
2012-10-02 10:00:00,4516,1,High-demand normal-weather traffic
2012-10-02 11:00:00,4767,1,High-demand normal-weather traffic
2012-10-02 12:00:00,5026,1,High-demand normal-weather traffic
2012-10-02 13:00:00,4918,1,High-demand normal-weather traffic
2012-10-02 14:00:00,5181,1,High-demand normal-weather traffic
2012-10-02 15:00:00,5584,1,High-demand normal-weather traffic
2012-10-02 16:00:00,6015,1,High-demand normal-weather traffic
2012-10-02 17:00:00,5791,1,High-demand normal-weather traffic
2012-10-02 18:00:00,4770,1,High-demand normal-weather traffic
2012-10-02 19:00:00,3539,1,High-demand normal-weather traffic
2012-10-02 20:00:00,2784,0,Low-demand normal-weather traffic
2012-10-02 21:00:00,2361,0,Low-demand normal-weather traffic
2012-10-02 22:00:00,1529,0,Low-demand normal-weather traffic
2012-10-02 23:00:00,963,0,Low-demand normal-weather traffic
2012-10-03 00:00:00,506,0,Low-demand normal-weather traffic
2012-10-03 01:00:00,321,0,Low-demand normal-weather traffic
2012-10-03 02:00:00,273,0,Low-demand normal-weather traffic
2012-10-03 03:00:00,367,0,Low-demand normal-weather traffic
2012-10-03 04:00:00,814,0,Low-demand normal-weather traffic
2012-10-03 05:00:00,2718,0,Low-demand normal-weather traffic
2012-10-03 06:00:00,5673,1,High-demand normal-weather traffic
2012-10-03 08:00:00,6511,1,High-demand normal-weather traffic
2012-10-03 09:00:00,5471,1,High-demand normal-weather traffic
2012-10-03 12:00:00,5097,1,High-demand normal-weather traffic
2012-10-03 13:00:00,4887,1,High-demand normal-weather traffic
2012-10-03 14:00:00,5337,1,High-demand normal-weather traffic
2012-10-03 15:00:00,5692,1,High-demand normal-weather traffic
2012-10-03 16:00:00,6137,1,High-demand normal-weather traffic
2012-10-03 18:00:00,4623,1,High-demand normal-weather traffic
2012-10-03 19:00:00,3591,1,High-demand normal-weather traffic
2012-10-03 20:00:00,2898,0,Low-demand normal-weather traffic
2012-10-03 21:00:00,2637,0,Low-demand normal-weather traffic
2012-10-03 22:00:00,1777,0,Low-demand normal-weather traffic
2012-10-03 23:00:00,1015,0,Low-demand normal-weather traffic
2012-10-04 00:00:00,598,0,Low-demand normal-weather traffic
2012-10-04 01:00:00,369,0,Low-demand normal-weather traffic
2012-10-04 02:00:00,312,0,Low-demand normal-weather traffic
2012-10-04 03:00:00,367,0,Low-demand normal-weather traffic
2012-10-04 04:00:00,835,0,Low-demand normal-weather traffic
2012-10-04 05:00:00,2726,0,Low-demand normal-weather traffic
2012-10-04 06:00:00,5689,1,High-demand normal-weather traffic
2012-10-04 07:00:00,6990,1,High-demand normal-weather traffic
2012-10-04 08:00:00,5985,1,High-demand normal-weather traffic
2012-10-04 09:00:00,5309,1,High-demand normal-weather traffic
2012-10-04 10:00:00,4603,1,High-demand normal-weather traffic
2012-10-04 11:00:00,4884,1,High-demand normal-weather traffic
2012-10-04 12:00:00,5104,1,High-demand normal-weather traffic
2012-10-04 13:00:00,5178,1,High-demand normal-weather traffic
2012-10-04 14:00:00,5501,1,High-demand normal-weather traffic
2012-10-04 15:00:00,5713,1,High-demand normal-weather traffic
2012-10-04 16:00:00,6292,1,High-demand normal-weather traffic
2012-10-04 17:00:00,6057,1,High-demand normal-weather traffic
2012-10-04 18:00:00,4907,1,High-demand normal-weather traffic
2012-10-04 19:00:00,3503,1,High-demand normal-weather traffic
2012-10-04 20:00:00,3037,0,Low-demand normal-weather traffic
2012-10-04 21:00:00,2822,0,Low-demand normal-weather traffic
2012-10-04 22:00:00,1992,0,Low-demand normal-weather traffic
2012-10-04 23:00:00,1166,0,Low-demand normal-weather traffic
2012-10-05 00:00:00,627,0,Low-demand normal-weather traffic
2012-10-05 01:00:00,388,0,Low-demand normal-weather traffic
2012-10-05 03:00:00,368,0,Low-demand normal-weather traffic
2012-10-05 05:00:00,2489,0,Low-demand normal-weather traffic
2012-10-05 06:00:00,5537,1,High-demand normal-weather traffic
